Señorita,Shawn Mendes,canadian pop,17,-145,-224,291
China,Anuel AA,reggaeton flow,5,-119,-221,402
boyfriend (with Social House),Ariana Grande,dance pop,90,-120,-260,286
Beautiful People (feat. Khalid),Ed Sheeran,pop,-7,-135,-236,298
Goodbyes (Feat. Young Thug),Post Malone,dfw rap,50,-135,-242,275
I Don't Care (with Justin Bieber),Ed Sheeran,pop,2,-132,-220,320
Ransom,Lil Tecca,trap music,80,-136,-225,231
How Do You Sleep?,Sam Smith,pop,11,-132,-252,302
Old Town Road - Remix,Lil Nas X,country rap,36,-138,-212,257
bad guy,Billie Eilish,electropop,35,-157,-230,294
Callaita,Bad Bunny,reggaeton,76,-138,-239,351
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop,-4,-129,-218,285
Someone You Loved,Lewis Capaldi,pop,10,-159,-250,282
Otro Trago - Remix,Sech,panamanian pop,76,-121,-227,388
Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,1,-150,-217,305
No Guidance (feat. Drake),Chris Brown,dance pop,-7,-155,-230,361
LA CANCIÓN,J Balvin,latin,76,-135,-225,343
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,-10,-152,-224,258
Lalala,Y2K,canadian hip hop,30,-161,-216,261
Truth Hurts,Lizzo,escape room,58,-138,-228,273
Piece Of Your Heart,MEDUZA,pop house,24,-126,-232,253
Panini,Lil Nas X,country rap,54,-141,-230,215
No Me Conoce - Remix,Jhay Cortez,reggaeton flow,-8,-121,-219,409
Soltera - Remix,Lunay,latin,-8,-122,-220,366
bad guy (with Justin Bieber),Billie Eilish,electropop,35,-155,-233,295
If I Can't Have You,Shawn Mendes,canadian pop,24,-118,-231,291
Dance Monkey,Tones and I,australian pop,-2,-141,-218,310
It's You,Ali Gatie,canadian hip hop,-4,-154,-227,313
Con Calma,Daddy Yankee,latin,-6,-114,-226,293
QUE PRETENDES,J Balvin,latin,-7,-121,-236,322
Takeaway,The Chainsmokers,edm,-15,-149,-271,310
7 rings,Ariana Grande,dance pop,40,-168,-222,279
Chantaje,Maluma,reggaeton,-4,-129,-222,276
The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,-2,-141,-220,300
Never Really Over,Katy Perry,dance pop,0,-112,-223,324
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,big room,14,-128,-234,264
Otro Trago,Sech,panamanian pop,76,-130,-225,326
Antisocial (with Travis Scott),Ed Sheeran,pop,52,-118,-228,262
Sucker,Jonas Brothers,boy band,38,-127,-216,281
Fuck I'm lonely (with Anne-Marie),Lauv,dance pop,-5,-144,-219,299
Higher Love,Kygo,edm,4,-132,-231,328
You Need To Calm Down,Taylor Swift,dance pop,-15,-132,-223,271
Shallow,Lady Gaga,dance pop,-4,-161,-243,316
Talk,Khalid,pop,36,-160,-210,298
Con Altura,ROSALÍA,r&b en espanol,-2,-131,-212,262
One Thing Right,Marshmello,brostep,-12,-138,-234,282
Te Robaré,Nicky Jam,latin,76,-125,-233,302
Happier,Marshmello,brostep,0,-121,-231,314
Call You Mine,The Chainsmokers,edm,4,-130,-241,318
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,-5,-121,-225,306
